hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc500,poc1000new,poc500new,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,poc2500,poc1000,income.med1000diff,income.med2500diff,link,link.se,pred,lcl,ucl,var,value.poc,value.income
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.429388348,0,0,-1.252328199,0,0,0,0,0,0,0,-0.429388348,-0.429388348,-1.252328199,-1.252328199,3.333158411,0.056534372,28.02672197,25.0303645,31.38177011,minority-income,0.2,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.37717003,0,0,-1.252328199,0,0,0,0,0,0,0,-0.37717003,-0.37717003,-1.252328199,-1.252328199,3.33505638,0.056080073,28.07996632,25.10071252,31.41283372,minority-income,0.225,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.324951712,0,0,-1.252328199,0,0,0,0,0,0,0,-0.324951712,-0.324951712,-1.252328199,-1.252328199,3.336989954,0.055661842,28.13431356,25.17033883,31.44731602,minority-income,0.25,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.272733394,0,0,-1.252328199,0,0,0,0,0,0,0,-0.272733394,-0.272733394,-1.252328199,-1.252328199,3.338959136,0.055275066,28.1897697,25.23946912,31.48493782,minority-income,0.275,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.220515076,0,0,-1.252328199,0,0,0,0,0,0,0,-0.220515076,-0.220515076,-1.252328199,-1.252328199,3.340963923,0.054915439,28.24634088,25.30831617,31.52543883,minority-income,0.3,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.168296758,0,0,-1.252328199,0,0,0,0,0,0,0,-0.168296758,-0.168296758,-1.252328199,-1.252328199,3.343004317,0.054578999,28.30403338,25.37707784,31.56857975,minority-income,0.325,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.11607844,0,0,-1.252328199,0,0,0,0,0,0,0,-0.11607844,-0.11607844,-1.252328199,-1.252328199,3.345080317,0.05426215,28.36285359,25.44593529,31.61414406,minority-income,0.35,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.063860122,0,0,-1.252328199,0,0,0,0,0,0,0,-0.063860122,-0.063860122,-1.252328199,-1.252328199,3.347191923,0.053961696,28.42280805,25.51505144,31.66193959,minority-income,0.375,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,-0.011641804,0,0,-1.252328199,0,0,0,0,0,0,0,-0.011641804,-0.011641804,-1.252328199,-1.252328199,3.349339136,0.053674859,28.48390344,25.58456956,31.71180008,minority-income,0.4,-55
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0.040576514,0,0,-1.252328199,0,0,0,0,0,0,0,0.040576514,0.040576514,-1.252328199,-1.252328199,3.351521955,0.053399299,28.54614655,25.65461193,31.76358641,minority-income,0.425,-55
