hours,dist,yday,time,temp,elev,natdiv2500,natdiv1000,natdiv500,natdiv1000new,natdiv500new,sqrt.popd2500,sqrt.popd1000,sqrt.popd500,popd1000new,popd500new,poc2500,poc1000,poc500,poc1000new,poc500new,income.med2500diff,income.med1000diff,income.med500diff,income.med1000diffnew,income.med500diffnew,yrbuilt2500,yrbuilt1000,yrbuilt500,yrbuilt1000new,yrbuilt500new,link,link.se,pred,lcl,ucl,var,value
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.85,-0.85,-0.85,0,0,0,0,0,0,0,3.399273374,0.036294709,29.94233525,27.84585039,32.19666227,income,-33.64817617
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,-0.8,-0.8,0,0,0,0,0,0,0,3.404405214,0.034829435,30.0963895,28.07126187,32.26761465,income,-30.99464308
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.75,-0.75,-0.75,0,0,0,0,0,0,0,3.409312943,0.033518959,30.24445744,28.28339902,32.34148786,income,-28.34110998
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,-0.7,-0.7,0,0,0,0,0,0,0,3.413996559,0.032361477,30.38644311,28.48203691,32.4181844,income,-25.68757689
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.65,-0.65,-0.65,0,0,0,0,0,0,0,3.418456062,0.031353742,30.52225416,28.66705568,32.49751244,income,-23.03404379
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,-0.6,-0.6,0,0,0,0,0,0,0,3.422691453,0.030490945,30.65180199,28.83844991,32.57917705,income,-20.3805107
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55,-0.55,-0.55,0,0,0,0,0,0,0,3.426702732,0.029766689,30.77500185,28.99633245,32.66277693,income,-17.72697761
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-0.5,-0.5,0,0,0,0,0,0,0,3.430489899,0.029173062,30.89177288,29.14093174,32.7478078,income,-15.07344451
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.45,-0.45,-0.45,0,0,0,0,0,0,0,3.434052953,0.028700818,31.00203826,29.27258222,32.83367245,income,-12.41991142
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,-0.4,-0.4,0,0,0,0,0,0,0,3.437391895,0.028339642,31.10572527,29.39170852,32.9196972,income,-9.766378323
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.35,-0.35,-0.35,0,0,0,0,0,0,0,3.440506724,0.028078488,31.20276535,29.49880482,33.00515298,income,-7.112845228
1.4,0.45,-0.670618043,-0.8047999,-0.2,-0.2989265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-0.3,-0.3,0,0,0,0,0,0,0,3.443397441,0.027905948,31.29309422,29.59441155,33.08927917,income,-4.459312134
